Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
1,-0.14628860732989457,-0.2720917820908871,-0.14626994230404003,-0.24730729049418015,-0.2728676302440106,-0.5306093425493571,3.106523384347275,0.1833259524694632,-0.31136546033601353,1.2029350524641922,1.421761364510648,-0.037097717474160304,-0.2737487290762817
1,0.26098132062431695,-0.26982740703135555,-0.14626994230404003,-0.5836340873227386,-0.2767415372178063,-0.5269384526541507,-0.18314442631826103,-0.5142682005461324,-0.5130600433321814,1.2029350524641922,-0.33991092595220646,0.12004961677321814,-0.3567180744491976
1,-0.28204524998129843,1.5529945158915253,-0.12403819952523522,-0.3495680618314585,-0.24332908956881869,-0.013013867325259375,-0.22207540632613718,-0.6014674696730818,-0.31136546033601353,-0.595725647842655,-0.33991092595220646,-0.05130312621968605,-0.2631936465885939
0,-0.01053196467849074,-0.2743561571504186,0.01852872953305945,0.7567583278027017,-0.27141491512883725,-0.3947864164267215,0.2256308637644387,1.0553186437389577,-0.1432866411725404,1.2029350524641922,0.24731317086874502,-0.1957670598014165,1.1785666510326693
1,-0.28204524998129843,-0.14302240369758995,-0.14225046250313517,-0.6953334552498586,-0.22126718935305237,-0.5269384526541507,0.4202857638038195,-0.5578678351096071,0.05420597134454054,-0.595725647842655,4.357881848615405,-0.09911954672917893,-0.39936487237924945
0,-0.28204524998129843,-0.12037865310227465,-0.1382309827022303,0.5333595919484616,-0.24879129840187056,-0.3433939578938324,0.011510473721119793,-0.3398696622922335,-0.21892210979610333,-0.595725647842655,-0.33991092595220646,-0.29076573078711987,0.069749904851321
1,-0.14628860732989457,-0.24491928137650876,-0.11009462409589624,-0.24853598354137849,-0.27678027628754426,-0.5159257829685316,0.6149406638432003,-0.29627002772875877,6.00419616973149,1.2029350524641922,4.357881848615405,-0.037097717474160304,-0.22877768065904203
0,-0.28204524998129843,-0.2720917820908871,-0.1382309827022303,-0.3602353514684985,-0.18971421705148667,0.04572037099804249,0.28402733377625294,0.4013241252868368,2.1635951518461285,-0.595725647842655,0.8345372676896965,-0.29076573078711987,-0.18613088272899017
1,-0.01053196467849074,-0.2652986569122925,-0.1020556644940865,2.879046318417982,-0.276993341171103,-0.47921688401646795,-0.22207540632613718,0.6629219326676852,-0.3785969880014028,1.2029350524641922,-0.33991092595220646,-0.037097717474160304,-0.015543691008782726
0,-0.28204524998129843,-0.1566086540547791,-0.14626994230404003,-0.6953334552498586,-0.23314071422773608,0.0,-0.26100638633401335,0.09612668334251374,-0.349183194647795,-0.595725647842655,-0.6335229743626822,-0.028346171014863204,-0.14348408479893832
